"district_code";"doses_administered";"doses_administered_over50";"pop";"pop_over50";"district";"Celková zaočkovanosť";"Zaočkovanosť nad 50 rokov";"joker";"next_joker"
"SK0101";275990;123402;435294;159685;"Bratislava I";0,634031252440879;0,77278391833923;"2";12331
"SK0102";275990;123402;435294;159685;"Bratislava II";0,634031252440879;0,77278391833923;"2";12331
"SK0103";275990;123402;435294;159685;"Bratislava III";0,634031252440879;0,77278391833923;"2";12331
"SK0104";275990;123402;435294;159685;"Bratislava IV";0,634031252440879;0,77278391833923;"2";12331
"SK0105";275990;123402;435294;159685;"Bratislava V";0,634031252440879;0,77278391833923;"2";12331
"SK0106";35325;16004;74323;24986;"Malacky";0,475290286990568;0,640518690466661;"0";237
"SK0107";35431;15874;65145;21867;"Pezinok";0,543879039066697;0,725934055883295;"1";527
"SK0108";50919;19306;89832;25893;"Senec";0,566824739513759;0,745606920789402;"1";114
"SK0211";68473;34076;122358;44587;"Dunajská Streda";0,559611958351722;0,764258640410882;"2";3823
"SK0212";45894;23806;94076;34765;"Galanta";0,487839619031421;0,684769164389472;"1";2268
"SK0213";19253;10135;45012;16868;"Hlohovec";0,427730383008975;0,600841830685321;"0";830
"SK0214";29772;16304;62802;25349;"Piešťany";0,474061335626254;0,64318119057951;"0";173
